Date : 2026-05-22 01:12:54
Directory : /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance
Total : 123 files,  3255 codes, 162 comments, 421 blanks, all 3838 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/component/item/UpcomingAuctionCardComponentController.java  | Java     |         -8 |          0 |         -3 |        -11 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/component/modal/PromoteModalController.java                 | Java     |         25 |         -2 |         -2 |         21 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/component/profile/ProfileSidebarController.java             | Java     |          0 |          2 |         -1 |          1 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/component/shell/HeaderComponentController.java              | Java     |          6 |          0 |         -1 |          5 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/component/shell/StarAuctionCarouselController.java          | Java     |        113 |          8 |          8 |        129 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/config/AppConfig.java                                       | Java     |         -1 |         -1 |          1 |         -1 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/config/SceneRegistry.java                                   | Java     |          0 |          0 |          1 |          1 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/dto/ProductCardUiModel.java                                 | Java     |          0 |          0 |          1 |          1 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/dto/ProfileAuctionCardUiModel.java                          | Java     |         55 |         -1 |          0 |         54 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/exception/SceneLoadException.java                           | Java     |          0 |          0 |          1 |          1 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/mock/MockAuctionClient.java                                 | Java     |         40 |          4 |          3 |         47 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/mock/MockDataProvider.java                                  | Java     |        153 |         10 |          9 |        172 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/network/AuctionClient.java                                  | Java     |          8 |         -3 |         -2 |          3 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/admin/AdminPageController.java                         | Java     |         77 |          2 |          2 |         81 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/auction/AuctionPageController.java                     | Java     |        239 |         15 |         24 |        278 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/auction/AuctionPageViewModel.java                      | Java     |         82 |          0 |          3 |         85 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/create/CreateListingController.java                    | Java     |        134 |          0 |         -2 |        132 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/general/GeneralPageController.java                     | Java     |         31 |          3 |          0 |         34 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/login/LoginPageController.java                         | Java     |          2 |          0 |         -1 |          1 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/login/LoginPageViewModel.java                          | Java     |          3 |         -2 |          0 |          1 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/productdetail/ProductDetailPageController.java         | Java     |         42 |          0 |         -1 |         41 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/productdetail/ProductDetailPageViewModel.java          | Java     |         14 |          0 |         -2 |         12 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/profile/PersonalProfileController.java                 | Java     |         83 |          3 |          6 |         92 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/profile/ProfilePageViewModel.java                      | Java     |        161 |         -2 |         20 |        179 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/profile/PublicSellerController.java                    | Java     |         21 |          2 |          0 |         23 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/register/RegisterPageController.java                   | Java     |          3 |          0 |         -1 |          2 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/register/RegisterPageViewModel.java                    | Java     |          4 |          0 |          0 |          4 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/scene/DataReceivable.java                                   | Java     |          0 |         -1 |          0 |         -1 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/scene/SceneService.java                                     | Java     |          5 |          0 |         -1 |          4 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/service/AuctionQueryService.java                            | Java     |         38 |          0 |          1 |         39 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/service/CssDependencyIndex.java                             | Java     |          3 |          0 |          0 |          3 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/service/FontLoaderService.java                              | Java     |          4 |          0 |         -1 |          3 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/service/HotReloadService.java                               | Java     |          4 |          0 |         -2 |          2 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/service/ImageLoader.java                                    | Java     |         14 |          1 |          0 |         15 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/service/NetworkService.java                                 | Java     |          2 |          0 |         -2 |          0 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/service/ThemeService.java                                   | Java     |          6 |          0 |          0 |          6 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/service/UserSessionService.java                             | Java     |         -2 |          0 |          1 |         -1 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/css/pages/auction-page.css                                                | PostCSS  |         21 |          3 |          4 |         28 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/css/pages/profile-page.css                                                | PostCSS  |         -1 |          1 |          0 |          0 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/fxml/pages/auction-page.fxml                                              | XML      |         12 |          0 |          0 |         12 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/fxml/pages/public-seller-page.fxml                                        | XML      |         -4 |          4 |          0 |          0 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/test/java/com/auction/client/ui/GeneralPageUiTest.java                                   | Java     |          0 |          0 |          1 |          1 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/test/java/com/auction/client/ui/LoginPageUiTest.java                                     | Java     |          0 |          0 |          1 |          1 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/test/java/com/auction/client/ui/ProductDetailPageUiTest.java                             | Java     |          0 |          0 |          1 |          1 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/test/java/com/auction/client/ui/ProfilePageUiTest.java                                   | Java     |          0 |          0 |          1 |          1 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/test/java/com/auction/client/ui/RegisterPageUiTest.java                                  | Java     |          0 |          0 |          1 |          1 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/test/java/com/auction/client/unit/page/auction/AuctionPageViewModelTest.java             | Java     |         71 |          7 |         20 |         98 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/test/java/com/auction/client/unit/page/login/LoginPageViewModelTest.java                 | Java     |          0 |          0 |          1 |          1 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/test/java/com/auction/client/unit/page/productdetail/ProductDetailPageViewModelTest.java | Java     |          0 |          0 |          1 |          1 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/test/java/com/auction/client/unit/page/profile/ProfilePageViewModelTest.java             | Java     |          0 |          0 |          1 |          1 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/test/java/com/auction/client/unit/page/register/RegisterPageViewModelTest.java           | Java     |          0 |          0 |          1 |          1 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/test/java/com/auction/client/unit/scene/SceneServiceTest.java                            | Java     |          1 |          0 |         -2 |         -1 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/test/java/com/auction/client/unit/service/CssDependencyIndexTest.java                    | Java     |          2 |          0 |         -2 |          0 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/Entity.java                                                     | Java     |         15 |          0 |          5 |         20 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/auction/Auction.java                                            | Java     |         83 |          0 |         16 |         99 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/auction/Bid.java                                                | Java     |         10 |          0 |          3 |         13 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/dto/auction/AuctionDetailsDto.java                              | Java     |         -1 |          0 |          0 |         -1 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/dto/auction/CreateAuctionRequest.java                           | Java     |         42 |          0 |          9 |         51 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/dto/auction/GetAuctionBySellerIdRequest.java                    | Java     |         -1 |          0 |          0 |         -1 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/dto/auction/GetAuctionDetailsRequest.java                       | Java     |         -1 |          0 |          0 |         -1 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/dto/auction/GetFeaturedAuctionsRequest.java                     | Java     |          4 |          0 |          1 |          5 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/dto/auction/GetPublicAuctionsRequest.java                       | Java     |         21 |          0 |          5 |         26 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/dto/auction/PromoteAuctionRequest.java                          | Java     |         20 |         -1 |          5 |         24 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/dto/auction/PublicAuctionDto.java                               | Java     |         47 |          0 |         12 |         59 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/dto/bid/GetBidByAuctionIdRequest.java                           | Java     |         -1 |          0 |         -1 |         -2 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/dto/bid/GetBidByBidderIdRequest.java                            | Java     |         -1 |          0 |         -2 |         -3 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/dto/bid/PlaceBid.java                                           | Java     |         12 |          0 |          5 |         17 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/dto/item/GetUploadSignatureRequest.java                         | Java     |         -1 |          0 |          0 |         -1 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/dto/item/GetUploadSignatureResponse.java                        | Java     |         -1 |          0 |          0 |         -1 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/dto/user/LoginRequest.java                                      | Java     |          7 |          0 |          4 |         11 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/dto/user/RegisterRequest.java                                   | Java     |         16 |          0 |          4 |         20 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/core/src/main/java/com/auction/core/dto/user/UpdatePasswordRequest.java                             | Java     |         12 |          0 |          4 |         16 |
