Date : 2026-05-20 23:58:43
Directory : /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance
Total : 188 files,  13534 codes, 900 comments, 2633 blanks, all 17067 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| client/src/main/resources/css/components/item                                                                                                                                                        |          3 |        248 |         27 |         47 |        322 |
| client/src/main/resources/css/components/modal                                                                                                                                                       |          1 |        188 |         15 |         30 |        233 |
| client/src/main/resources/css/components/shell                                                                                                                                                       |          5 |        127 |         13 |         21 |        161 |
| client/src/main/resources/css/pages                                                                                                                                                                  |          6 |      1,027 |         56 |        189 |      1,272 |
| client/src/main/resources/css/themes                                                                                                                                                                 |          2 |         39 |         12 |         10 |         61 |
| client/src/main/resources/fonts                                                                                                                                                                      |          1 |         11 |          0 |          3 |         14 |
| client/src/main/resources/fxml                                                                                                                                                                       |         23 |      1,507 |        140 |        254 |      1,901 |
| client/src/main/resources/fxml/components                                                                                                                                                            |         15 |        529 |         74 |         97 |        700 |
| client/src/main/resources/fxml/components/auth                                                                                                                                                       |          2 |         47 |          0 |         14 |         61 |
| client/src/main/resources/fxml/components/control                                                                                                                                                    |          2 |         27 |          0 |          4 |         31 |
| client/src/main/resources/fxml/components/item                                                                                                                                                       |          5 |        247 |         34 |         43 |        324 |
| client/src/main/resources/fxml/components/modal                                                                                                                                                      |          1 |         75 |         15 |         13 |        103 |
| client/src/main/resources/fxml/components/profile                                                                                                                                                    |          1 |         16 |          9 |          6 |         31 |
| client/src/main/resources/fxml/components/shell                                                                                                                                                      |          4 |        117 |         16 |         17 |        150 |
| client/src/main/resources/fxml/pages                                                                                                                                                                 |          8 |        978 |         66 |        157 |      1,201 |
| client/src/main/resources/i18n                                                                                                                                                                       |          2 |         12 |          0 |          0 |         12 |
| client/src/main/resources/mockdata                                                                                                                                                                   |          4 |        465 |          0 |          2 |        467 |
| client/src/test                                                                                                                                                                                      |         14 |        198 |          0 |         62 |        260 |
| client/src/test/java                                                                                                                                                                                 |         14 |        198 |          0 |         62 |        260 |
| client/src/test/java/com                                                                                                                                                                             |         14 |        198 |          0 |         62 |        260 |
| client/src/test/java/com/auction                                                                                                                                                                     |         14 |        198 |          0 |         62 |        260 |
| client/src/test/java/com/auction/client                                                                                                                                                              |         14 |        198 |          0 |         62 |        260 |
| client/src/test/java/com/auction/client/ui                                                                                                                                                           |          5 |         45 |          0 |         15 |         60 |
| client/src/test/java/com/auction/client/unit                                                                                                                                                         |          9 |        153 |          0 |         47 |        200 |
| client/src/test/java/com/auction/client/unit/component                                                                                                                                               |          2 |         20 |          0 |          8 |         28 |
| client/src/test/java/com/auction/client/unit/component/auctioncard                                                                                                                                   |          1 |         10 |          0 |          4 |         14 |
| client/src/test/java/com/auction/client/unit/component/header                                                                                                                                        |          1 |         10 |          0 |          4 |         14 |
| client/src/test/java/com/auction/client/unit/page                                                                                                                                                    |          5 |         55 |          0 |         16 |         71 |
| client/src/test/java/com/auction/client/unit/page/general                                                                                                                                            |          1 |         11 |          0 |          4 |         15 |
| client/src/test/java/com/auction/client/unit/page/login                                                                                                                                              |          1 |         11 |          0 |          3 |         14 |
| client/src/test/java/com/auction/client/unit/page/productdetail                                                                                                                                      |          1 |         11 |          0 |          3 |         14 |
| client/src/test/java/com/auction/client/unit/page/profile                                                                                                                                            |          1 |         11 |          0 |          3 |         14 |
| client/src/test/java/com/auction/client/unit/page/register                                                                                                                                           |          1 |         11 |          0 |          3 |         14 |
| client/src/test/java/com/auction/client/unit/scene                                                                                                                                                   |          1 |         53 |          0 |         13 |         66 |
| client/src/test/java/com/auction/client/unit/service                                                                                                                                                 |          1 |         25 |          0 |         10 |         35 |
| core                                                                                                                                                                                                 |         34 |        861 |         41 |        256 |      1,158 |
| core (Files)                                                                                                                                                                                         |          1 |         27 |          0 |          6 |         33 |
| core/src                                                                                                                                                                                             |         33 |        834 |         41 |        250 |      1,125 |
| core/src/main                                                                                                                                                                                        |         33 |        834 |         41 |        250 |      1,125 |
| core/src/main/java                                                                                                                                                                                   |         33 |        834 |         41 |        250 |      1,125 |
| core/src/main/java/com                                                                                                                                                                               |         33 |        834 |         41 |        250 |      1,125 |
| core/src/main/java/com/auction                                                                                                                                                                       |         33 |        834 |         41 |        250 |      1,125 |
| core/src/main/java/com/auction/core                                                                                                                                                                  |         33 |        834 |         41 |        250 |      1,125 |
| core/src/main/java/com/auction/core (Files)                                                                                                                                                          |          1 |         19 |          0 |          6 |         25 |
| core/src/main/java/com/auction/core/auction                                                                                                                                                          |          2 |        109 |          1 |         29 |        139 |
| core/src/main/java/com/auction/core/dto                                                                                                                                                              |         18 |        440 |         14 |        149 |        603 |
| core/src/main/java/com/auction/core/dto/auction                                                                                                                                                      |          8 |        230 |         14 |         77 |        321 |
| core/src/main/java/com/auction/core/dto/bid                                                                                                                                                          |          3 |         86 |          0 |         30 |        116 |
| core/src/main/java/com/auction/core/dto/item                                                                                                                                                         |          2 |         46 |          0 |         16 |         62 |
| core/src/main/java/com/auction/core/dto/user                                                                                                                                                         |          5 |         78 |          0 |         26 |        104 |
| core/src/main/java/com/auction/core/products                                                                                                                                                         |          1 |         32 |          5 |         10 |         47 |
| core/src/main/java/com/auction/core/protocol                                                                                                                                                         |          1 |         33 |          4 |          7 |         44 |
| core/src/main/java/com/auction/core/services                                                                                                                                                         |          4 |         61 |          3 |         18 |         82 |
| core/src/main/java/com/auction/core/users                                                                                                                                                            |          3 |         56 |          0 |         14 |         70 |
| core/src/main/java/com/auction/core/utils                                                                                                                                                            |          3 |         84 |         14 |         17 |        115 |
| docs                                                                                                                                                                                                 |          3 |        165 |          3 |         36 |        204 |
| docs (Files)                                                                                                                                                                                         |          2 |        148 |          3 |         31 |        182 |
| docs/uml                                                                                                                                                                                             |          1 |         17 |          0 |          5 |         22 |
| server                                                                                                                                                                                               |         24 |      2,479 |         82 |        387 |      2,948 |
| server (Files)                                                                                                                                                                                       |          1 |         71 |          0 |          8 |         79 |
| server/src                                                                                                                                                                                           |         23 |      2,408 |         82 |        379 |      2,869 |
| server/src/main                                                                                                                                                                                      |         21 |      2,202 |         63 |        323 |      2,588 |
| server/src/main/java                                                                                                                                                                                 |         21 |      2,202 |         63 |        323 |      2,588 |
| server/src/main/java/com                                                                                                                                                                             |         21 |      2,202 |         63 |        323 |      2,588 |
| server/src/main/java/com/auction                                                                                                                                                                     |         21 |      2,202 |         63 |        323 |      2,588 |
| server/src/main/java/com/auction/server                                                                                                                                                              |         21 |      2,202 |         63 |        323 |      2,588 |
| server/src/main/java/com/auction/server (Files)                                                                                                                                                      |          1 |         44 |          6 |         10 |         60 |
| server/src/main/java/com/auction/server/controller                                                                                                                                                   |          5 |        598 |         11 |         88 |        697 |
| server/src/main/java/com/auction/server/dao                                                                                                                                                          |          9 |        983 |         23 |        112 |      1,118 |
| server/src/main/java/com/auction/server/dao (Files)                                                                                                                                                  |          5 |        928 |         19 |         94 |      1,041 |
| server/src/main/java/com/auction/server/dao/impl                                                                                                                                                     |          4 |         55 |          4 |         18 |         77 |
| server/src/main/java/com/auction/server/network                                                                                                                                                      |          1 |         67 |          1 |         13 |         81 |
| server/src/main/java/com/auction/server/services                                                                                                                                                     |          5 |        510 |         22 |        100 |        632 |
| server/src/resource                                                                                                                                                                                  |          2 |        206 |         19 |         56 |        281 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                             | language        | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/.github/workflows/ci.yml                                                                                   | YAML            |         26 |          0 |          8 |         34 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/README.md                                                                                                  | Markdown        |         82 |          0 |         21 |        103 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/RUNNING_GUIDE.md                                                                                           | Markdown        |         96 |          0 |         51 |        147 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/pom.xml                                                                                             | XML             |        115 |          0 |         18 |        133 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/app/ClientApp.java                                                 | Java            |         65 |          4 |         14 |         83 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/app/Launcher.java                                                  | Java            |          6 |          0 |          2 |          8 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/component/control/SearchBarComponentController.java                | Java            |          3 |          0 |          1 |          4 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/component/control/ThemeToggleComponentController.java              | Java            |         15 |          0 |          6 |         21 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/component/item/AdminAuctionCardController.java                     | Java            |        100 |         11 |         26 |        137 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/component/item/AuctionCardComponentController.java                 | Java            |         68 |          0 |         22 |         90 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/component/item/ProfileAuctionCardController.java                   | Java            |         84 |         25 |         23 |        132 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/component/item/StarAuctionCardController.java                      | Java            |         95 |         23 |         25 |        143 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/component/item/UpcomingAuctionCardComponentController.java         | Java            |         63 |          0 |         22 |         85 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/component/modal/PromoteModalController.java                        | Java            |        157 |         32 |         34 |        223 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/component/profile/ProfileSidebarController.java                    | Java            |         20 |         16 |          6 |         42 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/component/shell/HeaderComponentController.java                     | Java            |        112 |          1 |         32 |        145 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/component/shell/NavbarComponentController.java                     | Java            |         22 |          2 |          7 |         31 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/component/shell/StarAuctionCarouselController.java                 | Java            |        182 |         29 |         42 |        253 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/config/AppConfig.java                                              | Java            |         57 |          7 |         17 |         81 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/config/SceneRegistry.java                                          | Java            |         24 |          0 |          5 |         29 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/dto/ProductCardUiModel.java                                        | Java            |         21 |          0 |          5 |         26 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/dto/ProfileAuctionCardUiModel.java                                 | Java            |         48 |         17 |          9 |         74 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/exception/SceneLoadException.java                                  | Java            |          6 |          0 |          2 |          8 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/mock/MockAuctionClient.java                                        | Java            |         79 |         32 |         23 |        134 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/mock/MockDataProvider.java                                         | Java            |        383 |         52 |         80 |        515 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/network/AuctionClient.java                                         | Java            |        117 |         20 |         22 |        159 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/admin/AdminPageController.java                                | Java            |        257 |         25 |         44 |        326 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/auction/AuctionPageController.java                            | Java            |        370 |          3 |         52 |        425 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/auction/AuctionPageViewModel.java                             | Java            |        163 |          0 |         42 |        205 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/create/CreateListingController.java                           | Java            |        250 |          7 |         43 |        300 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/general/GeneralPageController.java                            | Java            |        269 |          3 |         61 |        333 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/general/GeneralPageViewModel.java                             | Java            |         22 |          0 |          9 |         31 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/login/LoginPageController.java                                | Java            |         70 |          0 |         14 |         84 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/login/LoginPageViewModel.java                                 | Java            |         32 |          7 |          6 |         45 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/productdetail/ProductDetailPageController.java                | Java            |        259 |          0 |         40 |        299 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/productdetail/ProductDetailPageViewModel.java                 | Java            |        170 |          0 |         42 |        212 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/profile/PersonalProfileController.java                        | Java            |        228 |         50 |         49 |        327 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/profile/ProfilePageViewModel.java                             | Java            |        345 |         64 |         75 |        484 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/profile/PublicSellerController.java                           | Java            |         81 |         27 |         23 |        131 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/register/RegisterPageController.java                          | Java            |         73 |          0 |         14 |         87 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/register/RegisterPageViewModel.java                           | Java            |         33 |          0 |          6 |         39 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/page/sellers/SellersPageController.java                            | Java            |          7 |          1 |          4 |         12 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/scene/DataReceivable.java                                          | Java            |          5 |          5 |          3 |         13 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/scene/LifecycleAwareController.java                                | Java            |          4 |          0 |          2 |          6 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/scene/NavigationService.java                                       | Java            |         35 |          0 |         13 |         48 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/scene/SceneService.java                                            | Java            |        203 |          5 |         41 |        249 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/service/AuctionQueryService.java                                   | Java            |        287 |          0 |         54 |        341 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/service/CssDependencyIndex.java                                    | Java            |         45 |          1 |         11 |         57 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/service/FontLoaderService.java                                     | Java            |         43 |          0 |          8 |         51 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/service/HotReloadService.java                                      | Java            |        186 |          3 |         30 |        219 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/service/ImageLoader.java                                           | Java            |        146 |         12 |         26 |        184 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/service/NetworkService.java                                        | Java            |         58 |          6 |         15 |         79 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/service/ResourceLoader.java                                        | Java            |         42 |          0 |          9 |         51 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/service/ThemeService.java                                          | Java            |         69 |          0 |         20 |         89 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/java/com/auction/client/service/UserSessionService.java                                    | Java            |         46 |          5 |         11 |         62 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/css/app.css                                                                      | PostCSS         |         23 |          0 |          0 |         23 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/css/base/fonts.css                                                               | PostCSS         |          6 |          0 |          1 |          7 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/css/base/reset.css                                                               | PostCSS         |          9 |          0 |          1 |         10 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/css/base/spacing.css                                                             | PostCSS         |          6 |          0 |          1 |          7 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/css/base/tokens.css                                                              | PostCSS         |         92 |         15 |         11 |        118 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/css/base/typography.css                                                          | PostCSS         |          9 |          0 |          1 |         10 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/css/components/auth/login-card.css                                               | PostCSS         |         63 |          0 |          9 |         72 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/css/components/auth/register-card.css                                            | PostCSS         |         63 |          0 |          9 |         72 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/css/components/control/search-bar.css                                            | PostCSS         |          4 |          0 |          0 |          4 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/css/components/control/theme-toggle.css                                          | PostCSS         |          4 |          0 |          0 |          4 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/css/components/item/auction-card.css                                             | PostCSS         |         69 |          0 |         12 |         81 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/css/components/item/profile-auction-card.css                                     | PostCSS         |        101 |          8 |         19 |        128 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/css/components/item/star-auction-card.css                                        | PostCSS         |         78 |         19 |         16 |        113 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/css/components/modal/promote-modal.css                                           | PostCSS         |        188 |         15 |         30 |        233 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/css/components/shell/footer.css                                                  | PostCSS         |         11 |          0 |          2 |         13 |
| /mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/css/components/shell/header.css                                                  | PostCSS         |         44 |          0 |          6 |         50 |
